elo,moves,opening,termination
1388,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Bb5+ Nbd7 Bxd7+ Bxd7 Nc3 e5 Ndb5 Bxb5 Nxb5 Qa5+ Nc3 b5 O-O b4 Nd5 Nxd5 Qxd5 Qxd5 exd5 Be7 Re1 O-O f4 a5 fxe5 dxe5 Rxe5 Bc5+ Kh1 Rad8 c3 bxc3 bxc3 Rd6 a4 Rfd8 Ba3 Bxa3 Rxa3 Rxd5 Re1 Rd3 Raa1 Rc8 Rac1 h6 h3 Rcxc3 Rxc3 Rxc3 Re8+ Kh7 Re7 Ra3 Kh2 Rxa4 Rxf7 Rb4 Ra7 a4 Ra5 g5 Kg3 Kg6 h4 gxh4+ Kf3 Kf6 Ke3 Ke6 Kd3 Kd6 Kc3 Rb3+ Kc4 Rg3 Ra6+ Ke5 0-1,Sicilian Defense: Modern Variations Main Line,Time forfeit
1514,e4 e5 Nf3 Nf6 Nc3 d6 Bc4 Bg4 d3 Nbd7 Bg5 Be7 h3 Bxf3 Qxf3 h6 Be3 O-O Qe2 c6 O-O b5 Bb3 b4 Na4 d5 c4 d4 Bd2 c5 a3 a5 axb4 cxb4 Rfc1 Nc5 Nxc5 Bxc5 f4 Nd7 f5 f6 Qg4 Kh8 Rf1 Be7 Rf3 Nc5 Ba4 b3 Bc6 Ra7 Bd5 a4 Qg6 a3 Bxh6 Rg8 0-1,Russian Game: Three Knights Game,Time forfeit
1673,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 d4 exd4 Qxd4 Qxd4 Nxd4 Bc5 c3 Nf6 f3 O-O Be3 Nd7 Nd2 Ne5 O-O-O Nd3+ Kc2 Ne5 Rhe1 b5 N2b3 Bb6 Nf5 Ng6 Bxb6 cxb6 g3 Bxf5 exf5 Nh8 g4 f6 Nd4 Rac8 Re6 c5 Nc6 Nf7 Ne7+ Kh8 Nxc8 Rxc8 Rde1 Ne5 Re3 h6 h3 Nc4 Re8+ Rxe8 Rxe8+ Kh7 b3 Nd6 Re6 Nc8 Rc6 Ne7 Rxb6 Nd5 Rxa6 Ne3+ Kd3 Nf1 Ra5 Nh2 Rxb5 Nxf3 Ke3 Ne5 0-1,Ruy Lopez: Exchange Variation,Time forfeit
1447,e4 e5 Bc4 Nc6 Nf3 Be7 d4 exd4 Nxd4 Nxd4 Qxd4 Nf6 e5 c5 Qf4 Nh5 Qxf7# 1-0,Scotch Game: Benima Defense,Normal
1921,Nf3  Nf6  Nc3  d5  d4  Bf5  Bg5  e6  e3  Be7  Bd3  Bxd3  cxd3  O-O  O-O  c6  a3  Nbd7  b4  Re8  Na4  Nf8  Nc5  b6  Nb3  Ng6  Ne5  Nxe5  dxe5  Nd7  Bf4  f6?!  exf6  Bxf6  Rc1  Rc8  d4  e5  dxe5  Nxe5  Nd4  c5  Nf5  c4  Qh5?  Nd3  Nd6?!  Nxf4  Qf7+  Kh8  Nxe8  Ne2+  Kh1  Qxe8  Qxe8+  Rxe8  Rcd1?  Rd8?  Rd2  Nc3?!  Rc2  Ne4  f3  Nd6  a4?!  Nf5  Re1  a6?  Kg1?  b5?!  g4?  Nd6??  axb5  axb5  Rd1  Bg5?  f4  Be7  Rxd5  Rb8  Kf2  Ne4+  Kf3  Nf6  Rf5?!  Bxb4  g5?!  Nd7  h4  Nc5  0-1,Reti Opening #2,Time forfeit
1380,d4 d5 c3 e6 Nf3 Nf6 g3 Nbd7 Bg2 c5 O-O Bd6 Re1 a6 Nbd2 b5 e4 Bb7 e5 cxd4 exd6 dxc3 bxc3 Nc5 Nd4 Qxd6 Ba3 e5 Nf5 Qc6 Nxg7+ Kf8 Nf5 Rg8 Qf3 h5 Ne3 e4 Qxf6 Qxf6 Bxc5+ Kg7 Bd4 Qxd4 cxd4 Kh7 Nf5 Rg5 Nh4 Rg4 Nb3 Re8 Nc5 Bc6 Rac1 e3 fxe3 f5 a4 bxa4 Nd3 a3 Ne5 Bb5 Rc7+ Kg8 Nxg4 hxg4 Nxf5 a2 Bxd5+ Kh8 Bxa2 Re6 Bxe6 1-0,Queen's Pawn Game,Time forfeit
1646,e4 e5 Bc4 Nc6 d3 Nf6 Be3 Bb4+ c3 Ba5 Nd2 O-O h3 d6 Ne2 Ne8 Nf3 Kh8 Ng5 f5 Nf7+ Rxf7 Bxf7 f4 Bd2 Qg5 g3 Nf6 gxf4 Qg2 Rg1 Qxh3 f5 Ng4 Ng3 Qh2 Rh1 Qxf2# 0-1,Bishop's Opening,Normal
1473,e4 c5 d4 cxd4 Ne2 e6 Nd2 a6 Nxd4 b5 Ne2 Bb7 b3 d5 Bb2 dxe4 f3 e3 Ne4 Qxd1+ Kxd1 Bxe4 fxe4 Nc6 g4 e5 Bg2 Nf6 g5 Ng4 h3 Nf2+ Ke1 Nxh1 Bxh1 Nd4 Bxd4 exd4 c4 d3 Nf4 d2+ Ke2 Bc5 e5 O-O-O b4 Bxb4 Kxe3 d1=Q Rxd1 Rxd1 Ke4 Re8 Bf3 Re1+ Kf5 g6+ Kg4 Rg1+ Ng2 Rxe5 h4 h5+ Kh3 Rh1+ Kg3 Be1+ Nxe1 Rexe1 Kf2 Ref1+ Ke3 Rxf3+ Kxf3 Rxh4 Ke3 Rg4 cxb5 Rxg5 bxa6 Kb8 a7+ Kxa7 a4 Ra5 Kd4 Rxa4+ Kc5 1/2-1/2,Sicilian Defense: Smith-Morra Gambit #2,Time forfeit
1566,e4  c5  Bc4  d6  h3  a6  d4  b5?!  Bd5  Ra7  dxc5  dxc5??  Qh5??  e6  Be3?  exd5  exd5  Rd7?  Qe5+  Re7?  Qxb8  Nf6  Ne2?!  Qxd5??  Qxc8+  Qd8  1-0,Sicilian Defense: Bowdler Attack,Normal
1306,d4 Nf6 e3 c5 Bd3 Nc6 c3 cxd4 exd4 d6 f4 Bg4 Nf3 g6 h3 Bxf3 Qxf3 Bg7 g4 O-O g5 Nd7 h4 e5 fxe5 dxe5 h5 exd4 hxg6 fxg6 Bxg6 Rxf3 Rf1 Rxf1+ Kxf1 Qxg5 Bxg5 Nde5 Bxh7+ Kxh7 Nd2 Nd3 Rd1 dxc3 Ke2 cxd2 Rxd2 Nxb2 Rd7 Nd4+ Kf2 Rf8+ Kg3 Nc4 Rxg7+ Kxg7 Bh6+ Kxh6 Kh4 Nf5+ Kh3 1-0,Indian Game,Time forfeit
1745,d4 d5 c4 Nc6 cxd5 Qxd5 Nf3 e5 dxe5 Qxd1+ Kxd1 Bg4 Bf4 O-O-O+ Nbd2 Bb4 Kc2 Bxf3 Nxf3 Nge7 a3 Ba5 b4 Bb6 e3 Ng6 Bg3 h5 h4 Rhe8 Bb5 Nge7 Rhd1 a6 Ba4 Rxd1 Rxd1 Rd8 Rxd8+ Kxd8 Bxc6 Nxc6 Kd3 Ke7 Nd4 Bxd4 exd4 Ke6 Ke4 Ne7 f4 c6 Bf2 g6 g3 Nd5 Be1 f5+ exf6 Nxf6+ Kd3 Kd5 Bd2 Ne4 Be1 Nf6 a4 Nd7 Bc3 Nf6 Ke3 Ne4 Be1 Nd6 Bf2 Nc4+ Kf3 b6 g4 b5 axb5 hxg4+ Kxg4 axb5 Kg5 Nd6 Kxg6 Ne4 Be1 1-0,Queen's Gambit Refused: Chigorin Defense Exchange Variation,Time forfeit
1470,e4 c5 d4 cxd4 c3 dxc3 Bc4 cxb2 Bxb2 Nc6 Nf3 e6 Qb3 Nf6 O-O Nxe4 Re1 Ng5 Nbd2 Bb4 Re2 O-O Ne5 Bxd2 h4 Nd4 Bxd4 d5 Qg3 Ne4 Rxe4 dxe4 Nc6 bxc6 Qxg7# 1-0,Sicilian Defense: Smith-Morra Gambit,Normal
1724,e4 e5 Nf3 Nc6 Bb5 Bc5 Bxc6 bxc6 O-O d6 c3 Bb7 d4 exd4 cxd4 Bb6 Nc3 Ne7 Bg5 f6 Bf4 Ng6 Bg3 h5 h3 h4 Bh2 O-O Re1 Qd7 a4 a5 Qb3+ Kh7 Rad1 Rfe8 e5 fxe5 dxe5 c5 Nd5 c6 Nxb6 Qe6 Qxe6 Rxe6 Nxa8 Nxe5 Nxe5 dxe5 1-0,Ruy Lopez: Classical Variation,Normal
1233,e4 d6 Bc4 e5 Qf3 Nf6 Nc3 Nc6 h3 Nd4 Qd1 b6 Nf3 Be6 Bxe6 Nxe6 d4 exd4 Nxd4 Nxd4 Qxd4 c5 Qd5 a5 Qc6+ Nd7 Nd5 Rc8 Qb5 Be7 Bf4 O-O O-O-O Nf6 Nxf6+ Bxf6 Bxd6 1-0,Pirc Defense #4,Time forfeit
1422,e4 e5 d3 Nf6 Nf3 Be7 g3 O-O Bg2 Nc6 O-O d6 b3 Bg4 Bb2 Nd4 c3 Nxf3+ Bxf3 Bh3 Bg2 Qd7 Bxh3 Qxh3 a4 Ng4 f3 Qxh2# 0-1,King's Pawn Game: Leonardis Variation,Normal
1562,e4 e5 d4 exd4 c3 Qe7 Bd3 d5 Qe2 dxe4 Qxe4 Qxe4+ Bxe4 Nf6 Bf3 dxc3 Nxc3 c6 Bg5 Be7 O-O-O Bf5 Nge2 Nbd7 Nd4 Bg6 h4 h6 Bxf6 Nxf6 h5 Bh7 Rhe1 Rd8 g4 Kf8 g5 hxg5 Be4 Bxe4 Nxe4 Nxe4 Rxe4 Bf6 Nf5 Rxd1+ Kxd1 Rxh5 b3 g4 Nd6 Rd5+ Ke2 Rxd6 Rxg4 g6 Rg2 Rd4 Rh2 Kg7 Ke3 Rd5 Rh1 a5 Rc1 Bg5+ 0-1,Danish Gambit,Normal
1421,e4 e5 Nf3 d6 d4 Bg4 dxe5 Bxf3 Qxf3 dxe5 Bc4 Qf6 Qb3 b6 Bg5 Qxg5 Bxf7+ Kd8 Nc3 Bc5 O-O Nh6 Rfd1+ Kc8 Be6+ Kb7 Na4 Bd4 c3 Bxf2+ Kh1 Be3 Rf1 Ng4 Rf5 Qh4 h3 Nf2+ Rxf2 Qxf2 Qd5+ Nc6 Bd7 Rhd8 Qxc6+ Ka6 Qc4+ Kb7 Bc6+ Kc8 Qa6+ Kb8 Qb7# 1-0,Philidor Defense,Normal
1657,e4 c5 Nf3 d6 d4 cxd4 Nxd4 g6 Nc3 Bg7 Be3 Nf6 Be2 O-O Qd2 Bd7 f3 Nc6 h4 h5 f4 Ng4 O-O-O Nxe3 Qxe3 Qb6 Nb3 Qxe3+ Kb1 0-1,Sicilian Defense: Dragon Classical Attack,Normal
2093,d4 d5 c4 e6 cxd5 exd5 Nc3 Nf6 f3 Bb4 a3 Bxc3+ bxc3 Nc6 e3 Nh5 g3 O-O Bd3 Re8 Ne2 Bh3 Kf2 Qe7 Ng1 Bd7 h4 Na5 a4 Nc4 e4 dxe4 fxe4 Nd6 e5 Nxg3 Kxg3 Nf5+ Bxf5 Bxf5 Qf3 Bg6 h5 Bc2 Ne2 c5 Bf4 Rad8 a5 a6 Rh4 h6 Rg4 Kh8 Qe3 Bf5 Rxg7 Kxg7 Bxh6+ Kh7 Bg5 Rg8 Kh4 Rxg5 Qxg5 Qxg5+ Kxg5 Bd3 Nf4 cxd4 Nxd3 dxc3 Nf4 Rd4 Rc1 Rc4 Kf6 Rc5 Nd3 Rxa5 Nf2 Rc5 Ne4 Rc6+ Kxf7 b5 e6 b4 Nxc3 bxc3 e7 Rc8 0-1,Queen's Gambit Declined,Time forfeit
1594,e4 g6 Nf3 Bg7 d4 d6 Nc3 Bg4 Be3 Nc6 Bb5 a6 Bxc6+ bxc6 h3 Bd7 Qd2 e5 dxe5 dxe5 O-O-O Nf6 g4 O-O Bh6 Rb8 Bxg7 Kxg7 Nxe5 Qe7 Nxd7 Qb4 Qd4 Qxb2+ Kd2 Kg8 Nxf6+ Kh8 Nh5+ 1-0,Modern Defense: Two Knights Variation,Normal
1899,e4 e5 Nc3 Nf6 d3 d5 f4 dxe4 fxe5 Ng4 d4 c5 Be2 h5 h3 Qh4+ Kd2 e3+ Kd3 Nf2+ Kc4 Nxd1 Nxd1 Qxd4+ 0-1,Vienna Game: Vienna Gambit Steinitz Variation,Time forfeit
1515,d4 d5 c4 e5 dxe5 d4 e3 Nc6 a3 Nge7 Nf3 dxe3 Qxd8+ Nxd8 Bxe3 Nec6 Bd3 Bg4 Nbd2 Be7 h3 Bh5 g4 Bg6 Bxg6 fxg6 O-O-O Ne6 Ne4 Na5 Rd3 Nxc4 Rc3 Nxe3 fxe3 O-O-O b4 h5 g5 Rhf8 Kb2 0-1,Queen's Gambit Refused: Albin Countergambit,Normal
1537,e4 e6 f4 d5 e5 c5 Nf3 h6 Nc3 c4 d3 Bb4 Bd2 Bxc3 Bxc3 b5 dxc4 bxc4 b3 Ba6 Nd4 Qc7 b4 Bb7 a4 a6 b5 axb5 Nxb5 Qc5 Nd6+ Kd7 Qd2 Bc6 Nxf7 Rh7 Bb4 Qb6 a5 Qb5 c3 Na6 Nd6 Qb8 Qc2 Nxb4 Qxh7 d4 Qxg7+ Ne7 Nxc4 Nc2+ Kd2 Nxa1 Nb6+ Kc7 Qxe7+ Bd7 Qxd7# 1-0,French Defense: La Bourdonnais Variation,Normal
1349,d4  d5  e3  Nf6  Nf3  e6  Bd3  Bb4+  Bd2  Bd6  Na3  Bxa3  bxa3  O-O  Bb4  Re8  Bb5  Bd7  a4  c6  Bd3  b5?!  axb5  cxb5  Qe2  Na6  Bxb5??  Nxb4  Bxd7  Qxd7  Rb1?  Rab8?!  Ne5?  Rec8??  Nxd7  Nxc2+??  Kd2??  Ne4+  Kd3  Nb4+?!  Rxb4  Rxb4??  Nc5  Nd6?!  Qd2?!  Rb5?!  Rc1  Nc4  Qc3  Nb2+  Ke2  Nc4  Qa1  Rb2+  0-1,Colle System #2,Time forfeit
1538,e4  c5  Bc4  e6  Nf3  d6  c3  a6  d3  b5  Bb3  h6  Be3  Be7  O-O  Nf6  h3  Nbd7  Nh2  Bb7  f4  O-O  Ng4  Nxg4  Qxg4  Nf6  Qg3?!  Nh5?  Qf3  Nf6  Qg3  Nh5?  Qf3  Nf6  Qg3  1/2-1/2,Sicilian Defense: Bowdler Attack,Normal
1384,e4 c5 f4 Nc6 Nf3 e6 d4 cxd4 Nxd4 Nxd4 Qxd4 a6 f5 b5 Bd3 Bb7 O-O Rc8 Nc3 Bc5 Be3 Bxd4 Bxd4 Nf6 fxe6 dxe6 Be5 O-O Rf3 b4 Ne2 Qb6+ Bd4 Qd8 Rg3 Kh8 Rh3 h6 Rf1 Ng4 e5 1-0,Sicilian Defense: McDonnell Attack,Time forfeit
1743,e4  e5  Nc3  d5?!  exd5  Nf6  d3?!  Bb4  Nf3  Bxc3+?!  bxc3  Qxd5  Bd2  e4  dxe4  Qxe4+  Be2  O-O  O-O  Bf5?!  Bd3  Qe6??  Re1??  Qd5??  c4?  Qc5?  Be3??  Qa5  Nd4  Bxd3  cxd3  Nc6  Nxc6  bxc6  Bd2  Qh5?!  Bc3?!  Qxd1  Rexd1  Rac8  Bxf6  Rce8??  d4??  gxf6  d5  Re4  Rac1  cxd5  cxd5  Rfe8  g3  f5?  Rxc7  f4  Kg2  f3+?  Kxf3  Re2??  Kg2??  Rxa2  d6  Ree2??  Rf1??  Rec2??  Rxc2??  Rxc2  Rd1  Rc7??  d7?!  1-0,Vienna Game,Normal
1403,b3 Nc6 g3 Nf6 f3 Nd5 c3 Ne5 e4 Nb6 f4 Ng6 f5 Ne5 d4 Nc6 Be3 d5 e5 f6 e6 Qd6 Bf4 Qd8 Qh5+ g6 fxg6 Bxe6 gxh7+ Bf7 Qf3 e6 Na3 Qd7 Nb5 O-O-O a4 a6 Na3 Kb8 b4 Bg6 b5 Na7 bxa6 bxa6 Bxa6 Bxh7 Bb5 Nxb5 axb5 Kb7 Ne2 Ra8 O-O Bxa3 g4 Be4 Qg3 Be7 Rxa8 Rxa8 h4 f5 g5 Nc4 h5 Rh8 h6 Qd8 Qe1 Bxg5 Qa1 Qe7 Qa6+ Kb8 Ra1 Nb6 Qa7+ Kc8 Bxc7 Be3+ Kf1 Qh4 Qb8+ Kd7 Bg3 Qh1+ Ng1 Qg2+ Ke1 Qd2+ Kf1 Bd3+ Ne2 Qxe2# 0-1,Nimzo-Larsen Attack,Normal
1434,e4 c5 f4 Nc6 g4 e6 h4 g6 Rh2 Bg7 Nf3 Nf6 Bg2 Nxe4 Kf1 Nf6 Kg1 O-O Qe2 Qb6 Qf2 d5 d4 c4 Bd2 Nb4 Nc3 Nxc2 Rc1 Nb4 Be3 Nxa2 Qd2 1-0,Sicilian Defense: McDonnell Attack,Time forfeit
1639,e4 d6 d4 Nd7 Bc4 e6 Nc3 c6 Nge2 d5 exd5 exd5 Bd3 Be7 O-O Ngf6 Ng3 O-O Re1 Re8 Bg5 Kh8 Qf3 Ng8 Bxe7 Rxe7 Nf5 Rxe1+ Rxe1 Ndf6 Qf4 Bxf5 Qxf5 g6 Qf3 Qd6 g4 Re8 Rxe8 Nxe8 Qxf7 Nef6 g5 Ng4 Ne2 Qxh2+ Kf1 Qh1+ Ng1 Nh2+ Ke2 Qxg1 Qxb7 Qf1+ Kd2 Qxf2+ Kc3 Qe1+ Kb3 Ng4 Qxc6 Qe7 Qxd5 Ne3 c4 Nxd5 cxd5 Qb7+ Kc3 Qxd5 Bc4 Qf3+ Kb4 Qg4 b3 Qxg5 d5 Qd8 Kc3 Nf6 a4 Nxd5+ Kb2 Ne3 Ka3 Qd6+ Kb2 Nxc4+ bxc4 Qc5 Kc3 g5 Kd3 g4 Ke2 h5 Kf1 Qxc4+ Kg1 Qxa4 Kg2 Qf4 Kg1 a5 Kg2 Qf3+ Kg1 a4 Kh2 a3 Kg1 a2 Kh2 Qh3+ Kg1 a1=Q+ Kf2 Qa2+ Ke1 Qhg2 Kd1 Qgd2# 0-1,Rat Defense: Antal Defense,Normal
2093,e4  e5  Nf3  f5?!  Qe2?  fxe4  Nxe5  Nf6  Ng4  d5  Nxf6+  Qxf6  d3  Bc5  dxe4  O-O  f3?!  Qh4+?!  g3  Qh5  Nd2?!  Na6?  c3  c6  Bg2  Bh3  Bxh3  Qxh3  e5  Rae8  f4  Nc7  Nf3  Ne6  Be3  Bxe3  Qxe3  b6?  O-O-O  Nc5  Ng5  Qf5  b4  Na4  Nf3  a5  Nd4  Qd7  Nb3?  axb4  cxb4  c5  bxc5  bxc5  Qd3  c4?!  Qd4??  cxb3  axb3  Rc8+  Kd2  Nc5?!  Rb1?  Ne4+  0-1,Latvian Gambit,Time forfeit
1507,e4 e5 Nf3 Nc6 Bc4 Bc5 d3 Nf6 Ng5 O-O Bxf7+ Rxf7 Nxf7 Kxf7 O-O d5 Bg5 dxe4 Bxf6 Qxf6 dxe4 Qg6 Qf3+ Kg8 Nc3 Nd4 Qd3 Be6 Kh1 Rd8 Nd5 Bxd5 exd5 Qxd3 cxd3 Rxd5 Rac1 Ne2 Rcd1 Nf4 a3 Rxd3 Rxd3 Nxd3 f3 Nf2+ Kg1 Nd3+ Kh1 Nxb2 h3 Kf7 Ra1 Kg6 Ra2 Nd3 a4 Kg5 Rd2 Nf2+ Kh2 e4 fxe4 Nxe4 Rd5+ Kf4 Rd7 Bd6 Rxg7 Ke3+ Kh1 Kf2 Rf7+ Ke2 Rxh7 Kf1 Rf7+ Nf2+ Rxf2+ Kxf2 h4 Bf4 h5 Kg3 Kg1 c5 Kf1 c4 Ke2 Kxg2 Kd1 Kg3 Kc2 Kg4 Kc3 Kxh5 Kxc4 Bd2 Kb5 Kg5 Kc5 Kf5 Kd5 Kf6 Kd6 a6 Kd5 b5 axb5 axb5 Kc5 b4 Kc4 Ke5 Kd3 Bc3 Kc4 Ke4 Kb3 Kd3 Ka4 Kc2 0-1,Italian Game: Giuoco Pianissimo Normal,Normal
1202,d4 d5 Bf4 Nc6 Nc3 g5 Bxg5 h6 Bf4 Nf6 Nb5 Qd7 Nxc7+ Qxc7 Bxc7 Bf5 e3 Rc8 Bf4 e5 dxe5 Bg4 Be2 Bxe2 Qxe2 Ne4 O-O-O Bc5 Rxd5 b6 Nf3 Rg8 Nd4 Nxd4 exd4 h5 Qxe4 Rxg2 1-0,Queen's Pawn Game: Mason Attack,Normal
1807,d4  d6  Nf3  e6  e3  c6  Be2  d5  O-O  f5  c4  h6?  Nbd2?  g5  b3  g4  Bb2?  gxf3  Bxf3?!  Nf6  g3?!  Ne4?  Bg2?  h5?!  f3?!  Nxg3?  hxg3  Qg5  Kf2  h4  gxh4  Qxh4+  Ke2  Qg3  Rf2  Rh2?  Nf1  Qh4?  Nxh2  Qxh2  Qh1  Qg3?!  Qh3?!  Qg6?!  Rh1  Nd7  Qh5?!  Qxh5  Rxh5  b6  e4  Bb7?!  exf5  exf5  Bh3  O-O-O?!  Bxf5  Re8+  Kd1  Kc7  Rh7  Re7  Rxe7  Bxe7  Rh2  Bd6?  Rh7  Bc8  Bxd7?  Bxd7  Bc1  dxc4  bxc4  c5  d5  b5?  f4?  bxc4  f5  Be5  f6?  Bxf6  Bf4+  1-0,Queen's Pawn,Time forfeit
1504,e4 e5 Nf3 f5 exf5 Nf6 d3 Bc5 Bg5 d6 Be2 Bxf5 O-O O-O Nc3 h6 Bxf6 Qxf6 Nd5 Qf7 b4 Bb6 c4 c6 Nxb6 axb6 a4 b5 axb5 Rxa1 Qxa1 cxb5 cxb5 Qd5 b6 Bxd3 Bxd3 Qxd3 Ne1 Qd5 Nc2 Rf6 Ne3 Qc6 Ng4 Rg6 Qa2+ Kh8 Ne3 Na6 Qa5 d5 Nxd5 Nxb4 Nxb4 Qxg2# 0-1,Latvian Gambit Accepted,Normal
1314,e4 e6 d3 d5 Nc3 d4 Nb1 e5 Nf3 Nc6 Bg5 Be7 Bd2 Bg4 Be2 Bxf3 Bxf3 Bg5 Bxg5 Qxg5 h4 Qg6 Bh5 Qh6 Bf3 O-O-O g4 g6 Bg2 Kb8 Bh3 Qxh4 Bg2 Qg5 Na3 Nf6 f3 Na5 b4 Nc6 Nb5 Nxb4 a3 Nc6 Rb1 a6 Nxd4 exd4 Qd2 Ne7 Qxg5 Nfg8 Qc5 Nc6 Qc4 Ka7 Qxf7 Nge7 Qb3 b6 f4 Rhf8 O-O h5 e5 hxg4 Bxc6 Nxc6 Qe6 Na5 Qxg6 Rg8 Qe4 g3 Kg2 Rd7 e6 Re7 f5 Rg6 fxg6 Rxe6 Qxe6 1-0,French Defense: King's Indian Attack,Normal
1585,e4 e5 Nf3 d6 Bc4 Qe7 d4 Be6 d5 Bg4 Bg5 f6 Bh4 g5 Bg3 h5 h3 h4 hxg4 Bg7 Bh2 Nh6 Bb5+ c6 dxc6 bxc6 Ba4 Nxg4 Nc3 O-O Ne2 c5 Nc3 Na6 Nd5 Qb7 O-O Nxh2 Nxh2 f5 exf5 Rxf5 Ng4 Qxb2 Bb3 Qa3 Ndf6+ Kh8 Qd3 Rxf6 Nxf6 Bxf6 Qg6 Rf8 Qh6# 1-0,Philidor Defense #3,Normal
1470,Nc3 d5 e4 c6 exd5 cxd5 Nge2 e6 Nd4 Bd6 Qh5 g6 Qf3 f5 d3 Nf6 Bg5 O-O Qe3 Qb6 Bxf6 Rxf6 Ncb5 Bc5 Qe5 a6 Qxf6 axb5 a3 Bxd4 Qg5 Bxf2+ Kd1 Bd4 Be2 Bxb2 Rb1 Bd4 h4 Nd7 h5 Bf6 Qh6 Qd8 hxg6 Qe7 Qxh7+ Qxh7 gxh7+ Kh8 0-1,Caro-Kann Defense,Time forfeit
1881,e4 e5 Nf3 Qf6 Nc3 c6 d4 exd4 Nxd4 Bb4 f4 Bxc3+ bxc3 d6 Bd3 a6 O-O c5 e5 dxe5 fxe5 Qb6 Qf3 Be6 Nxe6 Qxe6 Qxb7 Qc6 Qxc6+ Nxc6 Ba3 Nxe5 Bxc5 Rc8 Bd4 f6 Bxa6 Rc7 Bb5+ Kf7 a4 Ke6 a5 Ne7 a6 Ra8 a7 N7c6 Ra6 Kd5 Bb6 Rb7 Rd1+ Ke6 c4 Rd7 Rxd7 Nxd7 Bxc6 Nxb6 Bxa8 1-0,King's Pawn Game: McConnell Defense,Time forfeit
1433,e4 c5 Nf3 g6 Nc3 Bg7 d4 Nc6 dxc5 Qa5 Bd2 Qxc5 Be3 Qa5 Bd2 Nf6 Bd3 O-O O-O Ne5 Nxe5 Qxe5 f4 Qc5+ Kh1 d5 e5 Bg4 Be2 Bxe2 Qxe2 Nd7 Be3 d4 e6 fxe6 Bxd4 Bxd4 Qxe6+ Rf7 Qxd7 Bxc3 bxc3 Qxc3 Qxb7 Raf8 g3 Qxc2 Rac1 Qxa2 Ra1 Qe2 Qxa7 e5 h4 Rxa7 Rae1 Qd3 Rd1 Qxg3 Rg1 Qh3# 0-1,Sicilian Defense: Hyperaccelerated Dragon,Normal
1345,e4 e5 d4 exd4 Qxd4 Nc6 Qd1 Nf6 Nc3 Bc5 Bc4 d6 Be3 O-O Bxc5 dxc5 Qxd8 Rxd8 Nf3 Bg4 Ng5 Rd7 f3 Bh5 g4 Bg6 Rd1 Rad8 Rxd7 Rxd7 O-O h6 Ne6 Re7 Nf4 Bh7 b3 Nd4 Kf2 Nxc2 a4 g5 Nfd5 Nxd5 Bxd5 b6 Rc1 Nd4 Nb5 Nxb5 axb5 Kg7 Ra1 f6 Rxa7 Bg8 Bxg8 Kxg8 Ra8+ Kf7 Rh8 Kg7 Rd8 Kg6 Kg3 Rh7 h4 gxh4+ Kxh4 h5 Rg8+ Kf7 Rc8 hxg4+ Kxg4 Ke6 f4 Rg7+ Kf3 f5 Re8+ Kd7 Re5 fxe4+ Rxe4 Re7 f5 Rxe4 Kxe4 Ke7 Ke5 Kf7 f6 c4 bxc4 Kg8 Ke6 Kf8 f7 c6 bxc6 b5 cxb5 Kg7 c7 Kf8 c8=Q+ Kg7 Qg8+ Kh6 f8=Q+ Kh5 Qg1 Kh4 1-0,Center Game: Normal Variation,Normal
1672,e4 e5 f4 exf4 Nf3 d6 d4 Nf6 Nc3 Bg4 Be2 Qe7 Qd3 Nc6 O-O O-O-O Bxf4 h5 a3 Nh7 Nd5 Qd7 e5 Be6 Nb4 Nxb4 axb4 d5 Rxa7 Kb8 Rfa1 c6 Qa3 Be7 Qa5 Bxb4 Ra8# 1-0,King's Gambit Accepted Fischer Defense,Normal
1238,d4 e5 dxe5 Bc5 c3 Nc6 b4 Bb6 Bf4 Qh4 g3 Qg4 Bh3 Qg6 Nf3 d6 Bxc8 Rxc8 Qb3 dxe5 Be3 Bxe3 fxe3 e4 Nd4 Nxd4 exd4 Nf6 Rf1 Rf8 c4 Ng4 c5 Nxh2 Rh1 Qxg3+ Kd2 Qxb3 0-1,Englund Gambit,Time forfeit
1574,e4 c5 f4 d5 e5 Bf5 d4 cxd4 Qxd4 h6 Nf3 a6 Nh4 Bh7 f5 e6 f6 gxf6 exf6 Qxf6 Qxf6 Nxf6 b3 Bg7 Bb2 Rg8 Nf3 Nbd7 c4 dxc4 Bxc4 O-O-O Nbd2 Nb6 O-O Nxc4 Nxc4 Kb8 Nb6 Rd6 Nc4 Rdd8 Nfe5 Rgf8 Nd3 Rxd3 Ne5 Rdd8 Nc4 Nh5 Bxg7 Nxg7 Rac1 Nf5 Ne5 Bg6 g4 Ka7 gxf5 Bxf5 Nc4 Rc8 a4 Bd3 Rf4 Bxc4 Rfxc4 Rxc4 Rxc4 f5 Rc7 Re8 b4 e5 b5 axb5 axb5 f4 Rh7 e4 Rxh6 e3 b6+ Ka6 Kf1 e2+ Ke1 f3 Rf6 Re3 Rf4 Ra3 Kf2 Ra1 Ra4+ Kxb6 0-1,Sicilian Defense: McDonnell Attack,Time forfeit
